C_Distri;N_Distri;C_Barri;N_Barri;Homes;Dones;Area;Perim;Coord_X;Coord_Y;WEB_1;WEB_2;WEB_3;WEB_4
01;Ciutat Vella;01;el Raval;26553;21850;1098392,91379000000;5557,37287820000;430732,00625800000;4581363,15123000000;http://www.bcn.cat/ciutatvella;http://www.bcn.cat/estadistica/catala/dades/inf/anuari/index.htm;http://www.bcn.cat/estadistica/catala/dades/guiadt01/index.htm;http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri1.pdf
01;Ciutat Vella;02;el Barri G?tic;8368;7508;841905,07749600000;5683,00485624000;431315,81781100000;4581594,76566000000;http://www.bcn.cat/ciutatvella;http://www.bcn.cat/estadistica/catala/dades/inf/anuari/index.htm;http://www.bcn.cat/estadistica/catala/dades/guiadt01/index.htm;http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri2.pdf
01;Ciutat Vella;03;la Barceloneta;7581;7631;1313867,98294000000;13039,26679330000;432374,69577100000;4581152,20728000000;http://www.bcn.cat/ciutatvella;http://www.bcn.cat/estadistica/catala/dades/inf/anuari/index.htm;http://www.bcn.cat/estadistica/catala/dades/guiadt01/index.htm;http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri3.pdf
01;Ciutat Vella;04;Sant Pere, Santa Caterina i la Ribera;11466;11390;1114298,81253000000;4658,03151184000;431822,63437300000;4582222,36348000000;http://www.bcn.cat/ciutatvella;http://www.bcn.cat/estadistica/catala/dades/inf/anuari/index.htm;http://www.bcn.cat/estadistica/catala/dades/guiadt01/index.htm;http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri4.pdf
02;Eixample;05;el Fort Pienc;15039;16924;928901,04657500000;4175,97132490000;431670,74160400000;4583403,35904000000;http://www.bcn.cat/eixample;http://www.bcn.cat/estadistica/catala/dades/inf/anuari/index.htm;http://www.bcn.cat/estadistica/catala/dades/guiadt02/index.htm;http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri5.pdf
02;Eixample;06;la Sagrada Fam?lia;23686;27937;1050991,15274000000;4336,62167415000;431269,36099400000;4584298,69238000000;http://www.bcn.cat/eixample;http://www.bcn.cat/estadistica/catala/dades/inf/anuari/index.htm;http://www.bcn.cat/estadistica/catala/dades/guiadt02/index.htm;http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri6.pdf
02;Eixample;07;la Dreta de l'Eixample;20240;23754;2123404,58138000000;6460,30737659000;430556,14551800000;4583021,61979000000;http://www.bcn.cat/eixample;http://www.bcn.cat/estadistica/catala/dades/inf/anuari/index.htm;http://www.bcn.cat/estadistica/catala/dades/guiadt02/index.htm;http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri7.pdf
02;Eixample;08;l'Antiga Esquerra de l'Eixample;19434;22727;1234453,33528000000;4851,62280529000;429460,46049200000;4582529,48103000000;http://www.bcn.cat/eixample;http://www.bcn.cat/estadistica/catala/dades/inf/anuari/index.htm;http://www.bcn.cat/estadistica/catala/dades/guiadt02/index.htm;http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri8.pdf
02;Eixample;09;la Nova Esquerra de l'Eixample;27038;31186;1337656,30825000000;4626,63028360000;428937,50422600000;4581835,50048000000;http://www.bcn.cat/eixample;http://www.bcn.cat/estadistica/catala/dades/inf/anuari/index.htm;http://www.bcn.cat/estadistica/catala/dades/guiadt02/index.htm;http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri9.pdf
02;Eixample;10;Sant Antoni;18134;20378;800985,10383200000;4711,25324077000;429799,91513400000;4581324,97040000000;http://www.bcn.cat/eixample;http://www.bcn.cat/estadistica/catala/dades/inf/anuari/index.htm;http://www.bcn.cat/estadistica/catala/dades/guiadt02/index.htm;http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri10.pdf
03;Sants-Montju?c;11;el Poble Sec;20213;20693;4604540,66822000000;9956,44800860000;429693,64770800000;4579869,11431000000;http://www.bcn.cat/sants-montjuic;http://www.bcn.cat/estadistica/catala/dades/inf/anuari/index.htm;http://www.bcn.cat/estadistica/catala/dades/guiadt03/index.htm;http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri11.pdf
03;Sants-Montju?c;12;la Marina del Prat Vermell;577;561;14284129,28130000000;43242,50848920000;428356,49851400000;4576986,36114000000;http://www.bcn.cat/sants-montjuic;http://www.bcn.cat/estadistica/catala/dades/inf/anuari/index.htm;http://www.bcn.cat/estadistica/catala/dades/guiadt03/index.htm;http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri12.pdf
03;Sants-Montju?c;13;la Marina de Port;14728;15751;1254642,47979000000;5818,64127531000;428148,15616700000;4579279,53470000000;http://www.bcn.cat/sants-montjuic;http://www.bcn.cat/estadistica/catala/dades/inf/anuari/index.htm;http://www.bcn.cat/estadistica/catala/dades/guiadt03/index.htm;http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri13.pdf
03;Sants-Montju?c;14;la Font de la Guatlla;4936;5545;302061,74358400000;2867,61561051000;428577,48601200000;4580360,96009000000;http://www.bcn.cat/sants-montjuic;http://www.bcn.cat/estadistica/catala/dades/inf/anuari/index.htm;http://www.bcn.cat/estadistica/catala/dades/guiadt03/index.htm;http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri14.pdf
03;Sants-Montju?c;15;Hostafrancs;7670;8284;410205,99427000000;3138,02112291000;428533,12407200000;4580979,75518000000;http://www.bcn.cat/sants-montjuic;http://www.bcn.cat/estadistica/catala/dades/inf/anuari/index.htm;http://www.bcn.cat/estadistica/catala/dades/guiadt03/index.htm;http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri15.pdf
03;Sants-Montju?c;16;la Bordeta;8738;9767;576519,29619700000;3659,78904683000;427871,21565100000;4580289,36478000000;http://www.bcn.cat/sants-montjuic;http://www.bcn.cat/estadistica/catala/dades/inf/anuari/index.htm;http://www.bcn.cat/estadistica/catala/dades/guiadt03/index.htm;http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri16.pdf
03;Sants-Montju?c;17;Sants - Badal;11414;12930;410559,35424300000;2843,47568725000;427151,57761800000;4580922,24732000000;http://www.bcn.cat/sants-montjuic;http://www.bcn.cat/estadistica/catala/dades/inf/anuari/index.htm;http://www.bcn.cat/estadistica/catala/dades/guiadt03/index.htm;http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri17.pdf
