,Unnamed: 0,C_Neigh,N_Neigh,Neigh_Lat,Neigh_Long,Venue,Venue_Lat,Venue_Long,Venue_Category
0,0,01,El Raval,41.38081,2.171593,Mercat de Sant Josep - La Boqueria,41.381958951117966,2.172010882862328,Market
1,1,01,El Raval,41.38081,2.171593,El Quim de la Boqueria,41.38190813537722,2.171948522927881,Tapas Restaurant
2,2,01,El Raval,41.38081,2.171593,Kӕlderkold,41.38172259074735,2.1733481819666816,Beer Bar
3,3,01,El Raval,41.38081,2.171593,Liceu Opera Barcelona,41.38071323849889,2.1736061650627523,Opera House
4,4,01,El Raval,41.38081,2.171593,Miró Mosaic on the Rambla,41.38115751691078,2.173279814971093,Plaza
5,5,01,El Raval,41.38081,2.171593,Llop,41.3818486456216,2.169511367944632,Restaurant
6,6,01,El Raval,41.38081,2.171593,Cañete,41.37915352642744,2.1730924282122515,Tapas Restaurant
7,7,01,El Raval,41.38081,2.171593,La Robadora,41.379499715735285,2.170463226095951,Gastropub
8,8,01,El Raval,41.38081,2.171593,Bacaro,41.38130687004929,2.1714367613026337,Italian Restaurant
9,9,01,El Raval,41.38081,2.171593,Bar Boqueria,41.38189299791277,2.171582264709372,Spanish Restaurant
10,10,01,El Raval,41.38081,2.171593,Chök,41.38283940566986,2.1713176727321084,Donut Shop
11,11,01,El Raval,41.38081,2.171593,Pinotxo,41.38200482752299,2.1719946167507063,Mediterranean Restaurant
12,12,01,El Raval,41.38081,2.171593,Tosca Del Carme,41.381933202175816,2.169548429184673,Restaurant
13,13,01,El Raval,41.38081,2.171593,Kiosko Universal,41.381681,2.172192,Seafood Restaurant
14,14,01,El Raval,41.38081,2.171593,A Tu Bola,41.380095915240716,2.169054173364087,Tapas Restaurant
15,15,01,El Raval,41.38081,2.171593,Irati Taverna Basca,41.38202169814512,2.1734780986544435,Tapas Restaurant
16,16,01,El Raval,41.38081,2.171593,Tabarlot,41.380761937826904,2.173192158306165,Tapas Restaurant
17,17,01,El Raval,41.38081,2.171593,Asian Restaurant,41.380309715021966,2.172340440527317,Asian Restaurant
18,18,01,El Raval,41.38081,2.171593,Robadors 23,41.3795810931896,2.170602825214247,Jazz Club
19,19,01,El Raval,41.38081,2.171593,Rocambolesc,41.380458713591,2.1738314009565416,Ice Cream Shop
20,20,01,El Raval,41.38081,2.171593,La Monroe,41.378795058907365,2.1706922512171314,Spanish Restaurant
21,21,01,El Raval,41.38081,2.171593,Ølgod,41.380124308513615,2.1691978203880504,Beer Bar
22,22,01,El Raval,41.38081,2.171593,Filmoteca de Catalunya,41.37854031238799,2.171100584858405,Movie Theater
23,23,01,El Raval,41.38081,2.171593,Escribà,41.3816291282411,2.172790751715242,Dessert Shop
24,24,01,El Raval,41.38081,2.171593,El Jardí Cafè,41.380888632946096,2.170153756595532,Café
25,25,01,El Raval,41.38081,2.171593,Wok to Walk,41.38226554658241,2.1720418833803867,Noodle House
26,26,01,El Raval,41.38081,2.171593,Palau de la Virreina,41.38255701209878,2.171887743547184,Monument / Landmark
27,27,01,El Raval,41.38081,2.171593,Jardins de Rubió i Lluch,41.38087519007823,2.1701356011876594,Garden
28,28,01,El Raval,41.38081,2.171593,Bacoa,41.380624871695964,2.1746821586917444,Burger Joint
29,29,01,El Raval,41.38081,2.171593,Hotel Curious,41.382389768079136,2.170513260395956,Hotel
30,30,01,El Raval,41.38081,2.171593,Hostal OperaRamblas,41.380301519238856,2.172812588001186,Hostel
31,31,01,El Raval,41.38081,2.171593,Chivuo's,41.38296052918113,2.1699479876928884,Sandwich Place
32,32,01,El Raval,41.38081,2.171593,Maoz Vegetarian,41.38080896896636,2.174784633024124,Falafel Restaurant
33,33,01,El Raval,41.38081,2.171593,Bar Mendizábal,41.38061875722682,2.1709006504196204,Bar
34,34,01,El Raval,41.38081,2.171593,Teatre Romea,41.38062057180769,2.1710479530913336,Theater
35,35,01,El Raval,41.38081,2.171593,Frankie Gallo Cha Cha Cha,41.37844954246539,2.172683416699777,Pizza Place
36,36,01,El Raval,41.38081,2.171593,Rooftop Combinat 360*,41.37906200975654,2.1696358723342417,Roof Deck
37,37,01,El Raval,41.38081,2.171593,Romesco,41.37992227837211,2.172677926905357,Spanish Restaurant
38,38,01,El Raval,41.38081,2.171593,Ófis Restaurant,41.37863553875484,2.1706684402250858,Mediterranean Restaurant
39,39,01,El Raval,41.38081,2.171593,Biblioteca de Catalunya: Teatre,41.38095087560056,2.170079501051464,Theater
40,40,01,El Raval,41.38081,2.171593,BCN Rambla,41.38311614610157,2.1716623491079283,Hotel
41,41,01,El Raval,41.38081,2.171593,La Rambla,41.382427704503456,2.172160148620605,Road
42,42,01,El Raval,41.38081,2.171593,Caravelle,41.38233748488436,2.168818337382153,Restaurant
43,43,01,El Raval,41.38081,2.171593,Restaurante Miño,41.38249209900889,2.170791747247392,Tapas Restaurant
44,44,01,El Raval,41.38081,2.171593,Palau Güell (Palacio Güell),41.37891970695072,2.17410271908208,Monument / Landmark
45,45,01,El Raval,41.38081,2.171593,Plaça Reial (Plaza Real),41.38010926480547,2.1752822399139404,Plaza
46,46,01,El Raval,41.38081,2.171593,Barcentral,41.38182429448467,2.171595450373486,Seafood Restaurant
47,47,01,El Raval,41.38081,2.171593,Barcelona Cooking (Cooking classes),41.380362263169346,2.174040966167873,Spanish Restaurant
48,48,01,El Raval,41.38081,2.171593,Granja M. Viader,41.383083,2.170809,Café
49,49,01,El Raval,41.38081,2.171593,Hotel 1898,41.38340433331596,2.1706803944457267,Hotel
50,50,01,El Raval,41.38081,2.171593,Amorino,41.383357663307095,2.172532993761632,Ice Cream Shop
51,51,01,El Raval,41.38081,2.171593,La Isabela (Hotel 1898),41.38338775472929,2.1708123224453963,Hotel Pool
52,52,01,El Raval,41.38081,2.171593,El Pintxo de Petrixol,41.382856531983045,2.172942602893687,Tapas Restaurant
53,53,01,El Raval,41.38081,2.171593,Absenta 1893,41.38053572679815,2.1703547588687466,Bar
54,54,01,El Raval,41.38081,2.171593,Carlota Akaneya,41.38234896543693,2.168812344861435,Japanese Restaurant
55,55,01,El Raval,41.38081,2.171593,Home on earth,41.381485166235926,2.174196780590519,Furniture / Home Store
56,56,01,El Raval,41.38081,2.171593,HEMA,41.38342002523947,2.1727130763544995,Boutique
57,57,01,El Raval,41.38081,2.171593,Taller de Tapas,41.382408,2.17204,Spanish Restaurant
58,58,01,El Raval,41.38081,2.171593,Dulcinea,41.38247196648243,2.173602576779712,Café
59,59,01,El Raval,41.38081,2.171593,Pizza Circus,41.37790546295147,2.1729111671447754,Pizza Place
60,60,01,El Raval,41.38081,2.171593,ArtiSa Barcelona,41.379746999999995,2.174871,Coffee Shop
61,61,01,El Raval,41.38081,2.171593,Casa Leopoldo,41.37900046603397,2.1694474480495898,Tapas Restaurant
62,62,01,El Raval,41.38081,2.171593,Bar Lobo,41.38325302798727,2.170433675626059,Tapas Restaurant
63,63,01,El Raval,41.38081,2.171593,L'Arc de Triomf,41.38112402443637,2.1733259440672965,Historic Site
64,64,01,El Raval,41.38081,2.171593,ALE-HOP,41.38165528980723,2.1748107535226024,Gift Shop
65,65,01,El Raval,41.38081,2.171593,Be Chocolat,41.382597251818865,2.1747248202957707,Dessert Shop
66,66,01,El Raval,41.38081,2.171593,Xurrería Manuel San Román,41.38224110661688,2.1750853482750383,Snack Place
67,67,01,El Raval,41.38081,2.171593,Wok to Walk,41.37923075678845,2.1722243947558035,Noodle House
68,68,01,El Raval,41.38081,2.171593,Real Madrid Official Store,41.382648880059314,2.171989384498411,Accessories Store
69,69,01,El Raval,41.38081,2.171593,Mannà Gelats,41.38307898657057,2.174487680308488,Ice Cream Shop
70,70,01,El Raval,41.38081,2.171593,Ramblero,41.38190804972585,2.1720636980118178,Tapas Restaurant
71,71,01,El Raval,41.38081,2.171593,La Cure Gourmande,41.380882890928454,2.1748781057200537,Bakery
72,72,01,El Raval,41.38081,2.171593,Teddys - Libanés,41.380993,2.168007,Fast Food Restaurant
73,73,01,El Raval,41.38081,2.171593,Beer'linale,41.38275664831948,2.171188400789112,Brewery
